"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",67.84,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",3.79,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",2.04,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",76.35,"bereinigt"
"2024-01-03T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",2.06,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.89,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",2.58,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",80.7,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","PM10","d1","µg/m3",2.18,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","PM2.5","d1","µg/m3",1.11,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",86.42,"bereinigt"
"2024-01-03T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.85,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.19,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",7.35,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",1.89,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",11.16,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",62.98,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",4.91,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",3.01,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_max_h1","d1","µg/m3",79.43,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-04T00:00+0100","Zch_Stampfenbachstrasse","PN","d1","1/cm3",6757.38,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","NOx","d1","ppb",11.43,"bereinigt"
